Date,GRUMAB,LABB,GCC,IPC,CETES 356 DÍAS,Ren. Port.
03/03/2020,-0.02389871,-0.017522401,0.010838907,0.007207346,-0.0023219825,-0.001198808
02/03/2020,0.012301009,0.011480036,0.020606729,0.020192663,0.0132297649,-0.00405813
28/02/2020,-0.037732499,-0.037442798,0.000102087,-0.006827649,-0.0165100380,0.00998446
27/02/2020,-0.022313262,0.017069422,-0.020308876,-0.026793075,0.0057959977,-0.008777417
26/02/2020,-0.010849494,0.004436783,0.007126816,-0.007190234,-0.0069511769,-0.00634648
25/02/2020,-0.008634749,-0.022955783,0.011040852,-0.017784426,0.0017332696,0.006504122
24/02/2020,0.01293079,-0.060880268,-0.012550752,-0.022218517,0.0003855793,-0.001965763
21/02/2020,-0.002569975,0.003185395,0.039180481,0.00062516,-0.0130270041,0.000639831
20/02/2020,-0.008894141,-0.000911071,-0.022956256,-0.002831548,0.0038138872,-0.003947169
19/02/2020,-0.000586929,-0.006355037,-0.021340886,-0.001615775,0.0095988451,0.005641388
18/02/2020,0.007311648,0.02195875,0.01046183,-0.000952352,0.0013512211,0.006944997
17/02/2020,-0.008533191,-0.005535023,0.003342632,0.000383957,0.0036768305,0.000132205
14/02/2020,0.006614272,-0.001378994,-0.004353335,-0.000120914,0.0029123407,0.006401024
13/02/2020,-0.014542561,0.022295349,-0.005138829,-0.007377433,0.0037011828,-0.01239838
12/02/2020,0.013707145,0.023284587,0,0.006882299,-0.0087438622,-0.005454675
11/02/2020,0.001007478,-0.00240101,0.025498183,0.016500506,-0.0102012241,0.007273978
10/02/2020,-0.002970109,-0.005261864,0.005116453,-0.002453424,0.0015331548,-0.004536224
07/02/2020,0.004914006,-0.043870825,0.030512646,-0.002110873,-0.0005752085,-0.005837426
06/02/2020,-0.001820947,-0.009543403,-0.041744626,-0.006490253,0.0028793570,0.001303738
05/02/2020,-0.004146413,-0.015260619,-0.011765812,-0.005882487,-0.0235573204,0.008725953
04/02/2020,0.016888859,0.004464338,0.007777393,0.021059782,0.0283747495,-0.008461417
31/01/2020,-0.020335207,0.018970759,-0.000204072,-0.016959922,-0.0119049025,-0.004195379
30/01/2020,-0.015399043,0.013312155,-0.008838408,-0.005996768,0.0202455580,-0.00510687
29/01/2020,-0.00369326,0.006025465,0.007207045,0.009230063,-0.0023346314,0.00703564
28/01/2020,0.011750674,0.034045793,0.010703019,0.013135484,-0.0085139833,0.002107328
27/01/2020,-0.005940798,-0.01905727,-0.020031802,-0.022565372,-0.0124463072,0.000473133
24/01/2020,-0.001732085,0.00378251,-0.01482692,-0.00738948,0.0072574803,0.004441677
23/01/2020,-0.014602977,0.001896681,-0.003870771,-0.002810948,0.0049961672,0.011913267
22/01/2020,0.022130494,0.002851713,0.001685402,-0.000720699,0.0077354863,-0.000705749
21/01/2020,0.007340632,0.033392892,-0.00908736,-0.005797687,-0.0177029830,-0.001599378
20/01/2020,-0.01250983,0.000984786,0.01495887,0.00185167,0.0097748742,0.00164784
17/01/2020,0.016224923,0.008906442,-0.00328828,0.011296846,0.0027000981,0.002174076
16/01/2020,0.007866691,0.055697661,0.020909437,0.018935147,-0.0001931061,0.003974813
15/01/2020,0.000296229,0.037477672,-0.013119534,-0.007170769,-0.0172286038,0.006418136
14/01/2020,-0.002564272,-0.008150004,-0.001002085,-0.001656548,0.0104932757,-0.002742866
13/01/2020,0.007563698,-0.013971211,0.001804432,0.004181555,0.0017276134,-0.005503191
10/01/2020,0.009723508,-0.001066667,-0.002054821,0.001975878,0.0011534027,0.001242392
09/01/2020,0.014841288,0.002668857,-0.001850837,0.002274444,0.0025036123,0.000953915
08/01/2020,0.02165632,-0.010103835,0.003404128,0.007065495,0.0110519787,0
